key,value,updated_at
auto_reminders,false,2026-03-20 14:12:25.641665
barber_schedules,"{""admin"":{""0"":[],""1"":[""08:00"",""08:30"",""09:00"",""09:30"",""10:00"",""10:30"",""11:00"",""11:30"",""14:30"",""15:00"",""15:30"",""16:00"",""16:30"",""17:00"",""17:30"",""18:00"",""18:30"",""19:00"",""20:00"",""20:30""],""2"":[""08:00"",""08:30"",""09:00"",""09:30"",""10:00"",""10:30"",""11:00"",""11:30"",""12:00"",""12:30"",""13:00""],""3"":[""08:00"",""08:30"",""09:00"",""09:30"",""10:00"",""10:30"",""14:00"",""14:30"",""15:00"",""15:30"",""16:00"",""16:30"",""17:00"",""17:30"",""18:00"",""18:30"",""19:00""],""4"":[""08:00"",""08:30"",""09:00"",""09:30"",""10:00"",""10:30"",""14:00"",""14:30"",""15:00"",""15:30"",""16:00"",""16:30"",""17:00"",""17:30"",""18:00"",""18:30"",""19:00"",""19:30"",""20:00"",""20:30"",""21:00""],""5"":[""08:00"",""08:30"",""09:00"",""09:30"",""10:00"",""10:30"",""14:00"",""14:30"",""15:00"",""15:30"",""16:00"",""16:30"",""17:00"",""17:30"",""18:00"",""18:30"",""19:00"",""19:30"",""20:00"",""20:30""],""6"":[""08:00"",""08:30"",""09:00"",""09:30"",""10:00"",""10:30"",""11:00"",""11:30"",""14:00"",""14:30"",""15:00"",""15:30"",""16:00"",""16:30"",""17:00"",""17:30"",""18:00"",""18:30"",""19:00"",""19:30"",""20:00"",""20:30""]}}",2026-03-25 18:06:27.991364
holiday_mode,false,2026-03-20 14:12:25.641665
loyalty_target,15,2026-03-20 14:12:25.641665
mp_access_token,APP_USR-8670819624140776-031814-5951e8dda4e5c1d42679f01d6b1497cb-274944596,2026-03-20 14:12:25.641665
mp_public_key,APP_USR-8150fbb4-0184-4c20-8b30-e520f33dc569,2026-03-20 14:12:25.641665
pix_key,"""""",2026-03-20 14:12:25.641665
reminder_minutes,"""30""",2026-03-20 14:12:25.641665
shop_address,"Av. 01, 608, Centro — Bonfinópolis, GO",2026-03-20 14:12:25.641665
shop_email,honoriotanaka20@gmail.com,2026-03-20 14:12:25.641665
shop_facebook,,2026-03-20 14:12:25.641665
